2026-07-11 20:17:51 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: llama2
2026-07-11 20:17:51 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:17:51 | INFO     | jarvis | __init__:35 | Project manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:51 | INFO     | jarvis | load_projects:216 | Loaded 0 projects from workspace
2026-07-11 20:17:51 | INFO     | jarvis | __init__:23 | File manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:51 | INFO     | jarvis | __init__:62 | Command manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:51 | INFO     | jarvis | __init__:25 | Search manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:51 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:51 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:17:51 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:51 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:17:51 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:17:51 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:17:51 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:17:52 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:17:52 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:17:52 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:17:52 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:52 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:17:52 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:17:52 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:17:52 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:17:52 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:17:52 | INFO     | jarvis | __init__:69 | Tool dispatcher initialized
2026-07-11 20:17:52 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-11 20:17:52 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-11 20:17:52 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: llama2
2026-07-11 20:17:52 | INFO     | jarvis | check_connection:65 | Ollama connection successful
2026-07-11 20:17:52 | INFO     | jarvis | list_models:88 | Available models: ['qwen2.5-coder:7b']
2026-07-11 20:17:57 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: llama2
2026-07-11 20:17:57 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:35 | Project manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:57 | INFO     | jarvis | load_projects:216 | Loaded 0 projects from workspace
2026-07-11 20:17:57 | INFO     | jarvis | __init__:23 | File manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:57 | INFO     | jarvis | __init__:62 | Command manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:57 | INFO     | jarvis | __init__:25 | Search manager initialized with workspace: /home/edb/JarvisWorkspace
